source,system,name,
Muni,,Junior Nordic Loop,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,,Unnamed,
ACE,Kincaid Single Track,Change of Pace,
Muni,Hillside Ski Trails,Spencer Loop,
Muni,,Fish Creek,
Muni,Beech Lake Ski Trails,Unnamed,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,,Mahaffey/APU,
Muni,Chester Creek Trail,Chester Creek Trail,
Muni,Kincaid Other Trails,Unnamed,
Muni,,Unnamed,
Muni,Girdwood Trails,Stumpy's Winter Trail,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,,Elevator,
Muni,Russian Jack Ski Trails,Unnamed,
Muni,Russian Jack Ski Trails,Unnamed,
Muni,Kincaid Ski Trails,Margauxs Loop,
Muni,Russian Jack Ski Trails,Unnamed,
Muni,,Abbott Road Trail,
Muni,Ruth Arcand Trails,Unnamed,
Muni,Campbell Creek Trail,Campbell Creek Trail,
Muni,,Beaver Dam Trail,
Muni,Chester Creek Trail,Chester Creek Trail,
Muni,Kincaid Ski Trails,Stadium Loop,
Muni,,Unnamed,
Muni,Hillside Ski Trails,Randys Loop,
Muni,Centennial Park Trails,Centennial,
Muni,,Unnamed,
Muni,Ruth Arcand Trails,Unnamed,
Muni,,Unnamed,
Muni,Russian Jack Ski Trails,Unnamed,
Muni,,Unnamed,
Muni,,Outgoing Trail,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,Hillside Ski Trails,Spencer Loop,
Muni,Abbott Trail,Abbott Trail,
Muni,,Unnamed,
Muni,Kincaid Ski Trails,Old 6.9 Loop (icebox/mizes Folly),
Muni,Mirror Lake Ski Trails,2.5 Km,
Muni,Russian Jack Ski Trails,Unnamed,
Muni,,C Street Trail,
Muni,Kincaid Other Trails,Unnamed,
Muni,Kincaid Other Trails,Unnamed,
Muni,Centennial Park Trails,Unnamed,
Muni,,Unnamed,
Muni,Mirror Lake Ski Trails,Unnamed,
Muni,Ruth Arcand Trails,Unnamed,
Muni,Kincaid Ski Trails,Mize Loop," <a href=""https://www.google.com/maps/views/view/104991274847220395490/gphoto/6021876865117596594?gl=us&heading=177&pitch=85&fovy=75"">Photosphere!</a> "
Muni,Campbell Creek Trail,Peanut Farm,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,Campbell Creek Trail,Campbell Creek Trail,
Muni,Hillside Ski Trails,Short Cut,
Muni,,Unnamed,
Muni,Tour of Anchorage,Old Rondy Trail,
Muni,Kincaid Other Trails,Unnamed,
Muni,Kincaid Other Trails,Unnamed,
Muni,,RC Meadow 2,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,Russian Jack Ski Trails,Unnamed,
Muni,Campbell Creek Trail,Lake Otis Pkwy. Trail,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,Chester Creek Trail,Chester Creek Trail,
Muni,,Unnamed,
Muni,,RC Meadow 3,
Muni,,Lake Otis Pkwy. Trail,
Muni,Kincaid Other Trails,Unnamed,
Muni,,OMalley Rd. Trail,
Muni,,Unnamed,
Muni,Centennial Park Trails,Unnamed,
Muni,Centennial Park Trails,Unnamed,
Muni,Kincaid Other Trails,Unnamed,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,Campbell Creek Trail,Campbell Creek Trail,
Muni,Campbell Creek Trail,Campbell Creek Trail,
Muni,Chester Creek Trail,Chester Creek Trail,
Muni,,Unnamed,
Muni,Coastal Trail,Coastal Trail,"The Tony Knowles Coastal Trail runs south from the railroad depot downtown by the Ted Steven's International Airport and ends in the world renown cross country ski park, Kincaid park.  <a href=""https://www.google.com/maps/views/view/110172673389708710076/gphoto/5943675274587615890?gl=us&heading=198&pitch=112&fovy=75l"">Earthquake Park</a>  "
Muni,,Unnamed, 
Muni,,Tank Trail,
Muni,,Fish Creek,
Muni,,Unnamed,
Muni,,Old Three Mile Trail,
Muni,Ruth Arcand Trails,Unnamed,
Muni,Ruth Arcand Trails,Unnamed,
Muni,,Off Leash Trail,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,Tour of Anchorage,Old Rondy Trail,
Muni,,Unnamed,
Muni,Kincaid Other Trails,Unnamed,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,Kincaid Other Trails,Unnamed,
Muni,Campbell Creek Trail,Campbell Creek Trail,
Muni,,Arctic Bvld. Trail,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,Tour of Anchorage,Campbell Creek Trail,
Muni,,Unnamed,
Muni,Beech Lake Ski Trails,Unnamed,
Muni,Bartlett Ski Trails,Bartlett,
Muni,,Turpin St. Trail,
Muni,,Unnamed,
Muni,Kincaid Ski Trails,Chalet Loop,
Muni,,Unnamed,
Muni,,Unnamed,
Muni,,Minnesota Dr. Trail,
Muni,Ruth Arcand Trails,Unnamed,
Muni,Campbell Creek Trail,Campbell Creek Trail,
Muni,Kincaid Ski Trails,Margauxs Loop,
Muni,Kincaid Ski Trails,Margauxs Loop,
Muni,,Elevator,
Muni,,Unnamed,
Muni,Kincaid Other Trails,Unnamed,
Muni,,Unnamed,
