source,system,name,geometry_hash,surface,lighting,winter_usage,summer_usage,ski_difficulty,ski_mode,direction,summer_direction,winter_direction,handicap_accessible,comments,image_url
Muni,Kincaid Ski Trails,Elliots Climb,,,,,,,,,,1way,,,
Muni,Kincaid Ski Trails,Junkyard Hill,,,,,,,,,,1way,,,
Muni,Kincaid Ski Trails,Horseshoe Loop,,,,,,,,,,1wayreverse,,,
Muni,Kincaid Ski Trails,Andrew Lekisch Loop,,,,,,,,,,1way,,,
Muni,Kincaid Ski Trails,Andrew Lekisch Trail,,,,,,,,,,1way,,,
Muni,Kincaid Ski Trails,Alex Sisson Loop,,,,,,,,,,1way,,,
ACE,Kincaid Single Track,Northwest Passage,,,,,,,,1way,1way,1way,,"Hey walkers: this is a multi-use trail, but it tends to have a lot of bike traffic on it. Keep your heads up and your dogs close!",
ACE,Kincaid Single Track,Second Breakfast,,,,,,,,1way,1way,1way,,"Hey walkers: this is a multi-use trail, but it tends to have a lot of bike traffic on it. Keep your heads up and your dogs close!",
ACE,Kincaid Single Track,Candy Mountain,,,,,,,,1way,1way,1way,,"Hey walkers: this is a multi-use trail, but it tends to have a lot of bike traffic on it. Keep your heads up and your dogs close!",
ACE,Kincaid Single Track,Hanging Chad,,,,,,,,1way,1way,1way,,"Hey walkers: this is a multi-use trail, but it tends to have a lot of bike traffic on it. Keep your heads up and your dogs close!",
Muni,Kincaid Single Track,Toilet Bowl,,,,,,,,1way,1way,1way,,"Hey walkers: this is a multi-use trail, but it tends to have a lot of bike traffic on it. Keep your heads up and your dogs close!",
Muni,Kincaid Single Track,Lee's Train,,,,,,,,1way,1way,1way,,"Hey walkers: this is a multi-use trail, but it tends to have a lot of bike traffic on it. Keep your heads up and your dogs close!",
Muni,Kincaid Single Track,QFB,,,,,,,,1way,1way,1way,,"Hey walkers: this is a multi-use trail, but it tends to have a lot of bike traffic on it. Keep your heads up and your dogs close!",
Muni,Kincaid Single Track,Bolling Alley,,,,,,,,special,special,special,,"Bolling Alley is one-way clockwise on even days of the month and counter-clockwise on odd days of the month. And walkers: this is a multi-use trail, but it tends to have a lot of bike traffic on it. Keep your heads up and your dogs close!",
ACE,Kincaid Single Track,Evolution,,,,,,,,1way,1way,1way,,"Hey walkers: this is a multi-use trail, but it tends to have a lot of bike traffic on it. Keep your heads up and your dogs close!",
ACE,Kincaid Single Track,Middle Earth,,,,,,,,2way,2way,2way,,"Hey walkers: this is a multi-use trail, but it tends to have a lot of bike traffic on it. Keep your heads up and your dogs close!",
ACE,Kincaid Single Track,Old School,,,,,,,,2way,2way,2way,,"Hey walkers: this is a multi-use trail, but it tends to have a lot of bike traffic on it. Keep your heads up and your dogs close!",
Muni,Kincaid Single Track,Mighty Bike,,,,,,,,2way,2way,2way,,"Hey walkers: this is a multi-use trail, but it tends to have a lot of bike traffic on it. Keep your heads up and your dogs close!",
Muni,Kincaid Single Track,C$ Express,,,,,,,,2way,2way,2way,,"Hey walkers: this is a multi-use trail, but it tends to have a lot of bike traffic on it. Keep your heads up and your dogs close!",
Muni,Kincaid Single Track,Good Greeff,,,,,,,,2way,2way,2way,,"Hey walkers: this is a multi-use trail, but it tends to have a lot of bike traffic on it. Keep your heads up and your dogs close!",
Muni,Kincaid Single Track,Sand Box,,,,,,,,2way,2way,2way,,"Hey walkers: this is a multi-use trail, but it tends to have a lot of bike traffic on it. Keep your heads up and your dogs close!",
Muni,Kincaid Single Track,Tower Power,,,,,,,,2way,2way,2way,,"Hey walkers: this is a multi-use trail, but it tends to have a lot of bike traffic on it. Keep your heads up and your dogs close!",
Muni,Kincaid Single Track,Kitchen Sink,,,,,,,,2way,2way,2way,,"Hey walkers: this is a multi-use trail, but it tends to have a lot of bike traffic on it. Keep your heads up and your dogs close!",
Muni,Kincaid Single Track,Change of Pace,,,,,,,,2way,2way,2way,,"Hey walkers: this is a multi-use trail, but it tends to have a lot of bike traffic on it. Keep your heads up and your dogs close!",
Muni,Kincaid Ski Trails,Arlene's Way,,,,,,,,,,1way,,,
